filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-SpruceCreek.Church.1981.lpd,tree,measured,Core,NA,NA,NA,NA
Asi-Hushre.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,Depth,cm,NA,NA,NA
MD01-2390.Steinke.2008.lpd,marine sediment,measured,D18O,per mil,2,Temperature,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,D18O,per mil,2,D18Osw,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,D18O,per mil,2,Temperature,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,D18O,per mil,2,D18Osw,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface
MD01-2390.Steinke.2008.lpd,marine sediment,measured,Uk37Prime,NotApplicable,1,Temperature,Sea Surface
Asi-CHIN063.Shao.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-CHIN050.Shao.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-MONG024.Jacoby.2010.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-CHIN066.Shao.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Trsgi,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-GalenaPassSawtooth.Briffa.1996.lpd,tree,measured,Core,NA,NA,NA,NA
Asi-CHIN061.Shao.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Ocn-Clipperton4b.Wu.2014.lpd,coral,measured,Sr/Ca,mmol/mol,1,T,Sea Surface
Asi-NEPA003.Krusic.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Arc-Crete.Vinther.2010.lpd,glacier ice,measured,D18O,permil,1,T,Air Condensationlevel
Ocn-SavusavuBayAB.Linsley.2006.lpd,coral,measured,D18O,permil,1,T,Sea Surface
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-McGinnisTrail.Wiles.2013.lpd,tree,measured,Core,NA,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,TEX86,degC,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,Upper95,degC,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,Lower95,degC,NA,NA,NA
Asi-BT005.Cook.2010.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-StarrigawanOldSitka.Kaiser.1996.lpd,tree,measured,Core,NA,NA,NA,NA
Ocn-Vanuatu.Gorman.2012.lpd,coral,measured,D18O,permil,1,T,Sea Surface
Ocn-Vanuatu.Gorman.2012.lpd,coral,measured,D13C,permil,NA,NA,NA
Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,measured,D18O,permil,1,T,Sea Surface
GeoB33021.Kim.2002.lpd,marine sediment,measured,Depth,m,NA,NA,NA
GeoB33021.Kim.2002.lpd,marine sediment,measured,Uk37Prime,NotApplicable,1,Temperature,Sea Surface
Juxtlahuaca.Lachniet.2013.lpd,speleothem,measured,Distance,mm,NA,NA,NA
Juxtlahuaca.Lachniet.2013.lpd,speleothem,measured,D18O,per mil VPDB,NA,NA,NA
Juxtlahuaca.Lachniet.2013.lpd,speleothem,measured,D18O,per mil VPDB,NA,NA,NA
Ocn-IfatyTul3.Zinke.2014.lpd,coral,measured,D18O,permil,1,T,Sea Surface
Asi-PAKI036.Cook.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-NOGSAK.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-PikePeaks.Harlan.1996.lpd,tree,measured,Core,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Trsgi,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,Core,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,SD,NA,NA,NA,NA
