publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1.0
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1.0
PAGES2kv2,Afr-P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1.0
PAGES2kv2,Ant-DSS.DahlJensen.1999.lpd,borehole,inferred,Temperature,Ice Surface,Temperature,degC,1.0
PAGES2kv2,Ant-WAIS-Divide.Severinghaus.2012.lpd,borehole,inferred,Temperature,Ice Surface,Temperature,degC,1.0
PAGES2kv2,Ant-WAIS-Divide.Severinghaus.2012.lpd,borehole,inferred,NA,NA,uncertainty_temperature,degC,NA
PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-BrayaS.DAndrea.2011.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1
PAGES2kv2,Arc-GulfofAlaska.Wilson.2014.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,inferred,NA,NA,uncertainty_temperature,degC,NA
PAGES2kv2,Arc-HudsonLake.Clegg.2011.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Iceland.Bergthorsson.1969.lpd,documents,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Kongressvatnet.DAndrea.2012.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1
PAGES2kv2,Arc-Lake4.Rolland.2009.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-LakeE.DAndrea.2011.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1
PAGES2kv2,Arc-LakeHamptrsk.Luoto.2009.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-LakePieni-Kauro.Luoto.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,inferred,Temperature,Air Condensationlevel,Temperature,degC,1
PAGES2kv2,Arc-MackenzieDelta.Porter.2013.lpd,tree,inferred,N/A,NA,Temperature,degC,1
PAGES2kv2,Arc-MD992275.Jiang.2005.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Arc-MooseLake.Clegg.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-ScreamingLynxLake.Clegg.2011.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-SoperLake.Hughen.2000.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Tornetrask.Melvin.2012.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Tornetrask.Melvin.2012.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-VringPlateau.Berner.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Arc-Yamalia.Briffa.2013.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
