coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[44.3, 11.955, -869]",PAGES2kv2,Afr-P178-15P.Tierney.2015.lpd,marine sediment,inferred,"median calibrated ssts from tex86, using BAYSPAR-NRS (Tierney & Tingley, 2014, GCA)",NA,Sea Surface,Temperature,degC,1.0
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.DahlJensen.1999.lpd,borehole,inferred,surface temperature,NA,Ice Surface,Temperature,degC,1.0
"[-112.125, -79.463, 1766]",PAGES2kv2,Ant-WAIS-Divide.Severinghaus.2012.lpd,borehole,inferred,surface temperature,NA,Ice Surface,Temperature,degC,1.0
"[-112.125, -79.463, 1766]",PAGES2kv2,Ant-WAIS-Divide.Severinghaus.2012.lpd,borehole,inferred,temperature uncertainty,NA,NA,uncertainty_temperature,degC,NA
"[-68.83, 69.87, 180]",PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-50.7, 67, 170]",PAGES2kv2,Arc-BrayaS.DAndrea.2011.lpd,lake sediment,inferred,inferred temperature,NA,Lake Surface,Temperature,degC,1
"[-146.59, 61.03, 230]",PAGES2kv2,Arc-GulfofAlaska.Wilson.2014.lpd,tree,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-146.2, 61.5, 1128]",PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,inferred,JJA Temperature Anomalies,NA,Air Surface,Temperature,degC,1
"[-146.2, 61.5, 1128]",PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,inferred,Temperature uncertainty,NA,NA,uncertainty_temperature,degC,NA
"[-145.66, 61.9, 657]",PAGES2kv2,Arc-HudsonLake.Clegg.2011.lpd,lake sediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-18.37, 64.77, 0]",PAGES2kv2,Arc-Iceland.Bergthorsson.1969.lpd,documents,inferred,annual mean temperature,NA,Air Surface,Temperature,degC,1
"[13.9311, 78.0217, 94]",PAGES2kv2,Arc-Kongressvatnet.DAndrea.2012.lpd,lake sediment,inferred,inferred temperature,NA,Lake Surface,Temperature,degC,1
"[-83.79, 65.1, 100]",PAGES2kv2,Arc-Lake4.Rolland.2009.lpd,lake sediment,inferred,chironomid assemblages derived temperature,NA,Air Surface,Temperature,degC,1
"[-50.7, 67, 170]",PAGES2kv2,Arc-LakeE.DAndrea.2011.lpd,lake sediment,inferred,inferred temperature,NA,Lake Surface,Temperature,degC,1
"[25.42, 60.28, 29]",PAGES2kv2,Arc-LakeHamptrsk.Luoto.2009.lpd,lake sediment,inferred,chironomid assemblages derived temperature,NA,Air Surface,Temperature,degC,1
"[30.12, 64.28, 188.4]",PAGES2kv2,Arc-LakePieni-Kauro.Luoto.2010.lpd,lake sediment,inferred,chironomid assemblages derived temperature,NA,Air Surface,Temperature,degC,1
"[17.425, 78.8647, 1250]",PAGES2kv2,Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,inferred,Temperature,NA,Air Condensationlevel,Temperature,degC,1
"[-133.87, 68.625, 5]",PAGES2kv2,Arc-MackenzieDelta.Porter.2013.lpd,tree,inferred,regional intrumental temperature record,NA,Na,Temperature,degC,1
