filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Ocn-CH07-98-MC-22.Saenger.2011.lpd,marine sediment,measured,Mg/Ca,NotApplicable,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-SiberianOutpostView.Bunn.2010.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Asi-BT005.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-KYRG011.Shiyatov.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Aus-DuckholeLake.Saunders.2013.lpd,lake sediment,measured,R650_700,NA,1,Temperature,Surface,Surface Temperature,deg C
Aus-DuckholeLake.Saunders.2013.lpd,lake sediment,measured,Depth,mm,NA,NA,NA,NA,NA
