publication,filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,measured,SE,degC,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,Core,NotApplicable,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,Depth,cm,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,TEX86,NA,1,Temperature,Lake Surface,Lake Surface Temperature,degC
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,TEX86,degC,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,Upper95,degC,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,Lower95,degC,NA,NA,NA,NA,NA
PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-DSS.Moy.2012.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-MES.Rhodes.2012.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-PlateauRemote.Mosley-Thompson.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-SiteDML05.Graf.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-SiteDML07.Graf.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-SiteDML17.Graf.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-TALDICE.Stenni.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-TalosDome.Stenni.2002.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-TaylorDome.Steig.2000.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-US-ITASE-2000-1.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-VLG.Bertler.2011.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-Vostok.Ekaykin.2014.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-WDC05A.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,Depth,m,NA,NA,NA,NA,NA
PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Arc-Agassiz.Vinther.2008.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,Thickness,mwe,NA,NA,NA,NA,NA
PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,Na,ng/g,1,Sea Ice,NA,NA,NA
PAGES2kv2,Arc-Arjeplog.Bjorklund.2014.lpd,tree,measured,Density,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
