coordinates,publication,filename,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,core name,Core,NA,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,depth,NA,cm,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,95% error range upper value,NA,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,95% error range lower value,NA,degC,NA,NA,NA,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[11.54, -70.86, 500]",PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-86.9, -74.57, 1354]",PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[43, -84, 3330]",PAGES2kv2,Ant-PlateauRemote.Mosley-Thompson.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-84.25, -75.92, 1054]",PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-0.01, -75, 2892]",PAGES2kv2,Ant-SiteDML05.Graf.2002.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-3.43, -75.58, 2680]",PAGES2kv2,Ant-SiteDML07.Graf.2002.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[6.5, -75.17, 3160]",PAGES2kv2,Ant-SiteDML17.Graf.2002.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[159.18, -72.82, 2315]",PAGES2kv2,Ant-TALDICE.Stenni.2010.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[159.06, -72.8, 2316]",PAGES2kv2,Ant-TalosDome.Stenni.2002.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[158.72, -77.78, 2365]",PAGES2kv2,Ant-TaylorDome.Steig.2000.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-111.24, -79.3838, 1791]",PAGES2kv2,Ant-US-ITASE-2000-1.Steig.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-107.99, -86.5, 2586]",PAGES2kv2,Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[162.5332, -77.3302, 625]",PAGES2kv2,Ant-VLG.Bertler.2011.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[104.8005, -78.2785, 3488]",PAGES2kv2,Ant-Vostok.Ekaykin.2014.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-112.09, -79.46, 1806]",PAGES2kv2,Ant-WDC05A.Steig.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-112.09, -79.46, 1806]",PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,depth,NA,m,NA,NA,NA,NA,NA
"[-112.09, -79.46, 1806]",PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-112.09, -79.46, 1806]",PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-73.1, 80.7, 1700]",PAGES2kv2,Arc-Agassiz.Vinther.2008.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[94.82, 80.52, 750]",PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,annual layer thickness,Thickness,mwe,NA,NA,NA,NA,NA
"[94.82, 80.52, 750]",PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[94.82, 80.52, 750]",PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,sodium ion concentrations,Na,ng/g,1,NA,NA,NA,NA
"[18.2, 66.3, 800]",PAGES2kv2,Arc-Arjeplog.Bjorklund.2014.lpd,tree,measured,NA,Density,NA,1,NA,Air Surface,NA,NA
