archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
h,Mg/Ca,mmol/mol,NA,NA,NA,NA
MarineSediment,Mg/Ca,mmol/mol,Temperature,Subsurface,Subsurface Temperature,degC
MarineSediment,D18O,permil,NA,NA,NA,NA
Wood,Trsgi,NA,NA,NA,uncertainty_temperature,degC
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Rbar,NA,NA,NA,NA,NA
Wood,Corrs,NA,NA,NA,NA,NA
MarineSediment,D18O,permil PDB,D18Osw,Sea Surface,D18O,permil SMOW
Wood,Corrs,NA,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
MarineSediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,degC
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
MarineSediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,ARS,NA,NA,NA,NA,NA
Coral,Composite,percent,Temperature,Sea Surface,Sea Surface Temperature,degC
MarineSediment,D18O,permil,Temperature,Sea Surface,D18O,permil
Wood,Density,NA,Temperature,Air Surface,Air Surface Temperature,degC
Wood,Rbar,NA,NA,NA,NA,NA
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Corrs,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Air Surface,Temperature,Temperature,degC
Wood,SE,NA,NA,NA,NA,NA
Wood,Segment,NA,NA,NA,NA,NA
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Segment,NA,NA,NA,NA,NA
Coral,D13C,permil,NA,NA,NA,NA
MarineSediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Thermocline Temperature,degC
Wood,Residual,NA,NA,NA,NA,NA
GlacierIce,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
GlacierIce,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,degC
Wood,Ringwidth,cm,NA,NA,NA,NA
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Rbar,NA,NA,NA,NA,NA
MarineSediment,D18O,permil VPDB,D180W,Sea Surface,Sea Surface D18Osw,NA
MarineSediment,D18O,permil,Temperature,Thermocline,Thermocline Temperature,degC
Wood,SE,NA,NA,NA,NA,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
Wood,SD,NA,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,rep diff.,NA
MarineSediment,D18O,permil PDB,D18Osw,Sea Surface,Sea Surface Temperature,degC
MarineSediment,Density,g/cm^3,NA,NA,NA,NA
Wood,Segment,NA,NA,NA,NA,NA
Wood,Segment,NA,NA,NA,NA,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
MarineSediment,D18O,permil,Ice Volume,Bottom Water,Bottom Water Ice Volume,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,degC
Wood,Segment,NA,NA,NA,NA,NA
LakeSediment,Bsi,mg/g,NA,NA,Temperature,degC
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,EPS,NA,NA,NA,NA,NA
Hybrid,Trsgi,NA,NA,NA,Temperature,degC
MarineSediment,D18O,permil,NA,NA,NA,NA
Wood,Residual,NA,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,D18Osw,permil
GlacierIce,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
GlacierIce,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
Wood,Ringwidth,cm,NA,NA,NA,NA
Wood,Residual,NA,NA,NA,NA,NA
Sclerosponge,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Coral,D13C,permil,NA,NA,NA,NA
MarineSediment,D18O,permil,D18Osw,Sea Surface,Sea Surface Temperature,degC
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,degC
MarineSediment,Ba/Ca,microm/m,NA,NA,Sea Surface Temperature,degC
MarineSediment,Mg/Ca,NotApplicable,NA,NA,NA,NA
