archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
speleothem,NA,degC,NA,NA,NA,NA
lake sediment,Core,NA,NA,NA,NA,NA
lake sediment,NA,cm,NA,NA,NA,NA
lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
lake sediment,TEX86,degC,NA,NA,NA,NA
lake sediment,NA,degC,NA,NA,NA,NA
lake sediment,NA,degC,NA,NA,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,NA,m,NA,NA,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Thickness,mwe,NA,NA,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,Na,ng/g,NA,Na,NA,NA
tree,Density,NA,NA,Air Surface,NA,NA
tree,Blue Intensity,NA,NA,Air Surface,NA,NA
tree,Density,NA,NA,Air Surface,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
lake sediment,Layer Thickness,mm,NA,Air Surface,NA,NA
lake sediment,Layer Thickness,mm,NA,Air Surface,NA,NA
lake sediment,Thickness,cm,NA,Air Surface,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
