filename,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,NA,degC,NA,NA,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,Core,NA,NA,NA,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,NA,cm,NA,NA,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,TEX86,degC,NA,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,degC,NA,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,degC,NA,NA,NA,NA
Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-CoastalDML.Thamban.2012.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-DomeC.Jouzel.2001.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-DomeC.Stenni.2001.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-DomeF1993.Uemura.2014.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-DomeF2001.Uemura.2008.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-DSS.Moy.2012.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-Ferrigno.Thomas.2013.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-JamesRossIsland.Mulvaney.2013.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-MES.Rhodes.2012.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-PlateauRemote.Mosley-Thompson.2013.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-SipleStation.Mosley-Thompson.1990.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-SiteDML05.Graf.2002.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-SiteDML07.Graf.2002.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-SiteDML17.Graf.2002.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-TALDICE.Stenni.2010.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-TalosDome.Stenni.2002.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-TaylorDome.Steig.2000.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-US-ITASE-2000-1.Steig.2013.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-VLG.Bertler.2011.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-Vostok.Ekaykin.2014.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ant-WDC05A.Steig.2013.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,NA,m,NA,NA,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Arc-Agassiz.Vinther.2008.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,Thickness,mwe,NA,NA,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,Na,ng/g,NA,NA,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,Density,NA,NA,Air Surface,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,Blue Intensity,NA,NA,Air Surface,NA,NA
Arc-Armarnaes.Bjorklund.2012.lpd,tree,Density,NA,NA,Air Surface,NA,NA
Arc-Austfonna.Isaksson.2005.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-Avam-Taimyr.Briffa.2008.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,Layer Thickness,mm,NA,Air Surface,NA,NA
Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,Layer Thickness,mm,NA,Air Surface,NA,NA
Arc-BlueLake.Bird.2008.lpd,lake sediment,Thickness,cm,NA,Air Surface,NA,NA
Arc-CampCentury.Fisher.1969.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-Crete.Vinther.2010.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-DevonIceCap.Fisher.1983.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-Dye.Vinther.2010.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-Forfjorddalen.McCarroll.2013.lpd,tree,Maximum Latewood Density,NA,NA,Air Surface,NA,NA
Arc-GISP2.Grootes.1997.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-GRIP.Vinther.2010.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Thickness,cm,NA,NA,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Duration,AD,NA,NA,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Biogenic Silica,mg/g,NA,NA,NA,NA
Arc-Hvtrvatn.Larsen.2011.lpd,lake sediment,Thickness,cm,NA,Air Surface,NA,NA
Arc-Indigirka.Hughes.1999.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Arc-Jamtland.Wilson.2016.lpd,tree,Maximum Latewood Density,NA,NA,Air Surface,NA,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,Density,NA,NA,Air Surface,NA,NA
Arc-Kongressvatnet.DAndrea.2012.lpd,lake sediment,Uk37,NA,NA,NA,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,Maximum Latewood Density,NaN,NA,Air Surface,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,Tree Ring Width,NaN,NA,NA,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,NA,NaN,NA,NA,NA,NA
Arc-LakeC2.Lamoureux.1996.lpd,lake sediment,Thickness,mm,NA,Air Surface,NA,NA
