authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
H. S. Sundqvist,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
K. Holmgren,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
J. Fohlmeister,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
Q. Zhang,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Bar Matthews,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
C. Spötl,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Körnich,speleothem,D18O,permil,NA,Air Condensationlevel,NA,NA
H. S. Sundqvist,speleothem,NA,degC,NA,NA,NA,NA
K. Holmgren,speleothem,NA,degC,NA,NA,NA,NA
J. Fohlmeister,speleothem,NA,degC,NA,NA,NA,NA
Q. Zhang,speleothem,NA,degC,NA,NA,NA,NA
M. Bar Matthews,speleothem,NA,degC,NA,NA,NA,NA
C. Spötl,speleothem,NA,degC,NA,NA,NA,NA
H. Körnich,speleothem,NA,degC,NA,NA,NA,NA
Lindsay A. Powers,lake sediment,Core,NA,NA,NA,NA,NA
Thomas C. Johnson,lake sediment,Core,NA,NA,NA,NA,NA
Josef P. Werne,lake sediment,Core,NA,NA,NA,NA,NA
Isla S. Castañeda,lake sediment,Core,NA,NA,NA,NA,NA
Ellen C. Hopmans,lake sediment,Core,NA,NA,NA,NA,NA
Jaap S. Sinninghe Damsté,lake sediment,Core,NA,NA,NA,NA,NA
Stefan Schouten,lake sediment,Core,NA,NA,NA,NA,NA
Lindsay A. Powers,lake sediment,NA,cm,NA,NA,NA,NA
Thomas C. Johnson,lake sediment,NA,cm,NA,NA,NA,NA
Josef P. Werne,lake sediment,NA,cm,NA,NA,NA,NA
Isla S. Castañeda,lake sediment,NA,cm,NA,NA,NA,NA
Ellen C. Hopmans,lake sediment,NA,cm,NA,NA,NA,NA
Jaap S. Sinninghe Damsté,lake sediment,NA,cm,NA,NA,NA,NA
Stefan Schouten,lake sediment,NA,cm,NA,NA,NA,NA
Lindsay A. Powers,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Thomas C. Johnson,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Josef P. Werne,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Isla S. Castañeda,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Ellen C. Hopmans,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Jaap S. Sinninghe Damsté,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Stefan Schouten,lake sediment,TEX86,NA,NA,Lake Surface,NA,NA
Jessica E. Tierney,lake sediment,TEX86,degC,NA,NA,NA,NA
Marc T. Mayes,lake sediment,TEX86,degC,NA,NA,NA,NA
Natacha Meyer,lake sediment,TEX86,degC,NA,NA,NA,NA
Christopher Johnson,lake sediment,TEX86,degC,NA,NA,NA,NA
Peter W. Swarzenski,lake sediment,TEX86,degC,NA,NA,NA,NA
Andrew S. Cohen,lake sediment,TEX86,degC,NA,NA,NA,NA
James M. Russell,lake sediment,TEX86,degC,NA,NA,NA,NA
Jessica E. Tierney,lake sediment,NA,degC,NA,NA,NA,NA
Marc T. Mayes,lake sediment,NA,degC,NA,NA,NA,NA
Natacha Meyer,lake sediment,NA,degC,NA,NA,NA,NA
Christopher Johnson,lake sediment,NA,degC,NA,NA,NA,NA
Peter W. Swarzenski,lake sediment,NA,degC,NA,NA,NA,NA
Andrew S. Cohen,lake sediment,NA,degC,NA,NA,NA,NA
James M. Russell,lake sediment,NA,degC,NA,NA,NA,NA
Jessica E. Tierney,lake sediment,NA,degC,NA,NA,NA,NA
Marc T. Mayes,lake sediment,NA,degC,NA,NA,NA,NA
Natacha Meyer,lake sediment,NA,degC,NA,NA,NA,NA
Christopher Johnson,lake sediment,NA,degC,NA,NA,NA,NA
Peter W. Swarzenski,lake sediment,NA,degC,NA,NA,NA,NA
Andrew S. Cohen,lake sediment,NA,degC,NA,NA,NA,NA
James M. Russell,lake sediment,NA,degC,NA,NA,NA,NA
Robert Mulvaney,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Hans Oerter,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
David A. Peel,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Wolfgang Graf,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Carol Arrowsmith,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Elizabeth C. Pasteur,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Bruce Knight,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Geneviève C. Littot,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
William D. Miners,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Meloth Thamban,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Sushant S. Naik,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
C. M. Laluraj,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arun Chaturvedi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Rasik Ravindra,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
J. Jouzel,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
V. Masson,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
O. Cattani,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
S. Falourd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
M. Stievenard,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
B. Stenni,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
A. Longinelli,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
S. J. Johnsen,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
J. P. Steffenssen,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
J. R. Petit,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
J. Schwander,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
R. Souchez,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
N. I. Barkov,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
B. Stenni,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
V Masson-Delmotte,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
S. Johnsen,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
J. Jouzel,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
A. Longinelli,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Monnin,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Röthlisberger,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Selmo,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Y. Motizuki,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Y. Nakai,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
K. Takahashi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Igarashi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Motoyama,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
K. Suzuki,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Kazuho Horiuchi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Tomoko Uchida,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Yuko Sakamoto,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Aoi Ohta,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Hiroyuki Matsuzaki,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Yasuyuki Shibata,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Hideaki Motoyama,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
C. T. Plummer,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. A. J. Curran,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
T D. Van Ommen,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
S. O. Rasmussen,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
A. D. Moy,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
T. R. Vance,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. B. Clausen,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. M. Vinther,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
P. A. Mayewski,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Elizabeth R. Thomas,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Thomas J. Bracegirdle,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
John Turner,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Eric W. Wolff,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Nerilie J. Abram,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Robert Mulvaney,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Eric W. Wolff,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Jack Triest,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Sepp Kipfstuhl,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Luke D. Trusel,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Françoise Vimeux,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Louise Fleet,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Carol Arrowsmith,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
R. H. Rhodes,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
N. A. N. Bertler,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
J. A. Baker,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
H. C. Steen-Larsen,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
