archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
MarineSediment,D18O,permil,D18Osw,Sea Surface,rep diff.,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
MarineSediment,D18O,permil,D18Osw,Surface,Surface D18Osw,NA
Wood,Segment,NA,NA,NA,NA,NA
Wood,Ringwidth,cm,NA,NA,NA,NA
MarineSediment,Depth,m,NA,NA,NA,NA
Speleothem,D18O,permil VPDB,NA,NA,NA,NA
MarineSediment,Depth,cm,NA,NA,Temperature,degC
LakeSediment,Depth,cm,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Corrs,NA,NA,NA,NA,NA
Wood,ARS,NA,NA,NA,NA,NA
MarineSediment,Depth,m,NA,NA,Sea Surface Temperature,degC
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
MarineSediment,Sample Label,NotApplicable,NA,NA,NA,NA
MarineSediment,Mg/Ca,mmol/mol,Temperature,Subsurface,Temperature,degC
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Speleothem,D18O,permil VPDB,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,rep diff.,NA
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Wood,Corrs,NA,NA,NA,NA,NA
MarineSediment,Notes,NotApplicable,NA,NA,NA,NA
GlacierIce,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,NA
Wood,Samplecount,count,NA,NA,NA,NA
Coral,Sr/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,NA
Wood,Trsgi,NA,Air Surface,Temperature,Temperature,degC
MarineSediment,Notes,NotApplicable,NA,NA,Temperature,degC
MarineSediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,degC
GlacierIce,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,NA
Wood,SD,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
MarineSediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,degC
Coral,D13C,permil,NA,NA,NA,NA
MarineSediment,D18O,permil,D18Osw,Sea Surface,Sea Surface Temperature,degC
Hybrid,Trsgi,NA,NA,NA,Temperature,degC
Wood,Trsgi,NA,Air Surface,Temperature,Temperature,degC
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Speleothem,D18O,permil VPDB,NA,NA,NA,NA
Wood,Residual,NA,NA,NA,NA,NA
Wood,SE,NA,NA,NA,NA,NA
MarineSediment,Depth,m,NA,NA,Sea Surface Temperature,degC
Coral,Composite,percent,Temperature,Sea Surface,Sea Surface Temperature,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
h,Mg/Ca,mmol/mol,NA,NA,NA,NA
MarineSediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Corrs,NA,NA,NA,NA,NA
Wood,SD,NA,NA,NA,NA,NA
MarineSediment,Uk37Prime,NotApplicable,Temperature,Sea Surface,Sea Surface Temperature,degC
Wood,Residual,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air,Air Temperature,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Coral,D13C,permil,NA,NA,NA,NA
Wood,Rbar,NA,NA,NA,NA,NA
Wood,EPS,NA,NA,NA,NA,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
h,Mg/Ca,mmol/mol,NA,NA,D18O,permil SMOW
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
LakeSediment,R660_670,NA,NA,NA,Temperature,degC
Sclerosponge,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Wood,ARS,NA,NA,NA,NA,NA
Coral,Sr/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,NA
Coral,D13C,permil,NA,NA,NA,NA
MarineSediment,Uk37Prime,NotApplicable,Temperature,Sea Surface,Sedimentation Rate,cm/kyr
MarineSediment,D18O,permil,D18Osw,Sea Surface,D18O,permil
MarineSediment,Depth,cm,NA,NA,Sea Surface Temperature,degC
Wood,SD,NA,NA,NA,NA,NA
h,D18O,cm,NA,NA,Sea Surface Temperature,degC
Wood,SD,NA,NA,NA,NA,NA
Wood,Rbar,NA,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,degC
MarineSediment,Depth,m,NA,NA,NA,NA
MarineSediment,Depth,cm,NA,NA,Temperature,degC
Wood,ARS,NA,NA,NA,NA,NA
Wood,Trsgi,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air,Air Temperature,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,D18O,permil
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Samplecount,count,NA,NA,NA,NA
LakeSediment,R660_670,NA,NA,NA,NA,NA
MarineSediment,Depth,m,NA,NA,Sea Surface Temperature,degC
MarineSediment,Depth,m,NA,NA,Temperature,degC
MarineSediment,Depth,m,NA,NA,NA,NA
Wood,Density,g/cm3,NA,NA,NA,NA
MarineSediment,Depth,m,NA,NA,NA,NA
Wood,Core,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Segment,NA,NA,NA,NA,NA
Wood,Residual,NA,NA,NA,NA,NA
MarineSediment,Depth,cm,NA,NA,Sea Surface Temperature,degC
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Wood,Segment,NA,NA,NA,NA,NA
Wood,Segment,NA,NA,NA,NA,NA
MarineSediment,Uk37Prime,NA,Temperature,Sea Surface,Sea Surface Temperature,NA
LakeSediment,Thickness,mm,Temperature,NA,Temperature,degC
Wood,Segment,NA,NA,NA,NA,NA
Coral,Sr/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,NA
Wood,Corrs,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Wood,Corrs,NA,NA,NA,NA,NA
Wood,Corrs,NA,NA,NA,NA,NA
MarineSediment,Uk37,NotApplicable,NA,NA,NA,NA
MarineSediment,Depth,m,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
MarineSediment,D18O,permil,D18Osw,Sea Surface,Sea Surface Temperature,degC
Wood,Corrs,NA,NA,NA,NA,NA
Wood,Rbar,NA,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
MarineSediment,D18O,permil PDB,NA,NA,Thermocline Temperature,degC
Wood,EPS,NA,NA,NA,NA,NA
MarineSediment,D18O,permil,D18Osw,Sea Surface,D18O,permil
Coral,D18O,permil,Temperature,Sea Surface,Sea Surface Temperature,NA
Speleothem,D18O,permil,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Sea Surface,D18O,permil
MarineSediment,Depth,cm,NA,NA,Sea Surface Temperature,degC
Coral,D13C,permil,NA,NA,NA,NA
MarineSediment,D18O,permil,Temperature,Subsurface,D18O,permil
MarineSediment,D18O,permil,D18Osw,Sea Surface,Sea Surface Temperature,degC
Wood,Trsgi,NA,NA,NA,uncertainty_temperature,degC
LakeSediment,Core,NotApplicable,NA,NA,NA,NA
Wood,Segment,NA,NA,NA,NA,NA
Wood,SE,NA,NA,NA,NA,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
Wood,Samplecount,count,NA,NA,NA,NA
Wood,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,NA
MarineSediment,Depth,m,NA,NA,Sea Surface Temperature,degC
Wood,ARS,NA,NA,NA,NA,NA
MarineSediment,Uncorrected Depth,NotApplicable,NA,NA,D18O,permil
Wood,Ringwidth,cm,NA,NA,NA,NA
